,name,season,review link,year
0,The Original,1,https://www.imdb.com//title/tt4227538/reviews/?ref_=tt_ql_urv,2016
1,Chestnut,1,https://www.imdb.com//title/tt4562758/reviews/?ref_=tt_ql_urv,2016
2,The Stray,1,https://www.imdb.com//title/tt4625856/reviews/?ref_=tt_ql_urv,2016
3,Dissonance Theory,1,https://www.imdb.com//title/tt4625862/reviews/?ref_=tt_ql_urv,2016
4,Contrapasso,1,https://www.imdb.com//title/tt4625866/reviews/?ref_=tt_ql_urv,2016
5,The Adversary,1,https://www.imdb.com//title/tt4630544/reviews/?ref_=tt_ql_urv,2016
6,Trompe L'Oeil,1,https://www.imdb.com//title/tt4630546/reviews/?ref_=tt_ql_urv,2016
7,Trace Decay,1,https://www.imdb.com//title/tt4458814/reviews/?ref_=tt_ql_urv,2016
8,The Well-Tempered Clavier,1,https://www.imdb.com//title/tt5220026/reviews/?ref_=tt_ql_urv,2016
9,The Bicameral Mind,1,https://www.imdb.com//title/tt5229638/reviews/?ref_=tt_ql_urv,2016
10,Journey into Night,2,https://www.imdb.com//title/tt6243294/reviews/?ref_=tt_ql_urv,2018
11,Reunion,2,https://www.imdb.com//title/tt6243296/reviews/?ref_=tt_ql_urv,2018
12,Virtù e Fortuna,2,https://www.imdb.com//title/tt6243298/reviews/?ref_=tt_ql_urv,2018
13,The Riddle of the Sphinx,2,https://www.imdb.com//title/tt6243300/reviews/?ref_=tt_ql_urv,2018
14,Akane No Mai,2,https://www.imdb.com//title/tt6243302/reviews/?ref_=tt_ql_urv,2018
15,Phase Space,2,https://www.imdb.com//title/tt6243304/reviews/?ref_=tt_ql_urv,2018
16,Les Écorchés,2,https://www.imdb.com//title/tt6243306/reviews/?ref_=tt_ql_urv,2018
17,Kiksuya,2,https://www.imdb.com//title/tt6243308/reviews/?ref_=tt_ql_urv,2018
18,Vanishing Point,2,https://www.imdb.com//title/tt6243310/reviews/?ref_=tt_ql_urv,2018
19,The Passenger,2,https://www.imdb.com//title/tt6243312/reviews/?ref_=tt_ql_urv,2018
20,Parce Domine,3,https://www.imdb.com//title/tt8358332/reviews/?ref_=tt_ql_urv,2020
21,The Winter Line,3,https://www.imdb.com//title/tt9899922/reviews/?ref_=tt_ql_urv,2020
22,The Absence of Field,3,https://www.imdb.com//title/tt10011150/reviews/?ref_=tt_ql_urv,2020
23,The Mother of Exiles,3,https://www.imdb.com//title/tt10011152/reviews/?ref_=tt_ql_urv,2020
24,Genre,3,https://www.imdb.com//title/tt10011154/reviews/?ref_=tt_ql_urv,2020
25,Decoherence,3,https://www.imdb.com//title/tt10011156/reviews/?ref_=tt_ql_urv,2020
26,Passed Pawn,3,https://www.imdb.com//title/tt10011158/reviews/?ref_=tt_ql_urv,2020
27,Crisis Theory,3,https://www.imdb.com//title/tt10011160/reviews/?ref_=tt_ql_urv,2020
