Timestamp,Status V,Latitude,Latitude Direction,Longitude,Longitude Direction,Speed Over Ground,True Course,Datestamp,Magnetic Variation,Magnetic Variation Direction
213514.00,A,4529.69720,N,07334.56617,W,1.268,,281221,,
213515.00,A,4529.70267,N,07334.56741,W,2.000,,281221,,
213516.00,A,4529.70630,N,07334.56763,W,1.805,315.73,281221,,
213517.00,A,4529.70760,N,07334.56780,W,2.785,308.67,281221,,
213518.00,A,4529.70918,N,07334.56760,W,1.848,318.28,281221,,
213519.00,A,4529.71002,N,07334.56843,W,2.678,323.43,281221,,
213520.00,A,4529.71048,N,07334.56883,W,2.664,315.56,281221,,
213521.00,A,4529.71148,N,07334.56920,W,2.534,313.20,281221,,
213522.00,A,4529.71235,N,07334.56912,W,2.137,319.37,281221,,
213523.00,A,4529.71303,N,07334.56891,W,2.040,324.45,281221,,
213524.00,A,4529.71351,N,07334.56913,W,2.378,317.34,281221,,
213525.00,A,4529.71412,N,07334.56954,W,2.963,302.69,281221,,
213526.00,A,4529.71458,N,07334.56965,W,2.262,304.24,281221,,
213527.00,A,4529.71524,N,07334.56992,W,2.517,311.08,281221,,
213528.00,A,4529.71600,N,07334.57026,W,2.768,313.10,281221,,
213529.00,A,4529.71658,N,07334.57073,W,2.534,315.57,281221,,
213530.00,A,4529.71712,N,07334.57155,W,2.684,319.06,281221,,
213531.00,A,4529.71783,N,07334.57228,W,2.690,318.39,281221,,
213532.00,A,4529.71857,N,07334.57234,W,2.293,320.82,281221,,
213533.00,A,4529.71896,N,07334.57264,W,2.686,313.29,281221,,
213534.00,A,4529.71956,N,07334.57281,W,2.246,320.29,281221,,
213535.00,A,4529.72003,N,07334.57323,W,2.233,319.62,281221,,
213536.00,A,4529.72072,N,07334.57319,W,1.761,331.21,281221,,
213537.00,A,4529.72137,N,07334.57326,W,2.526,327.83,281221,,
213538.00,A,4529.72207,N,07334.57349,W,2.137,332.42,281221,,
213539.00,A,4529.72284,N,07334.57340,W,2.569,328.50,281221,,
213540.00,A,4529.72359,N,07334.57410,W,2.688,328.35,281221,,
213541.00,A,4529.72439,N,07334.57428,W,3.379,309.25,281221,,
213542.00,A,4529.72499,N,07334.57518,W,3.114,310.31,281221,,
